,json_file,pickle_file,line_id,png_file,png_w,png_h,draw_ori_pos_x,draw_ori_pos_y,xtrans_pix,ytrans_pix,rotate_ccw_deg
0,240316_070536_702550.json,240316_070536_702550.pickle,1,240316_070536_702550_000001,1772,394,53.415694635544455,136.5714336576928,-13.646315631225795,-0.5237502554397248,0.6578401796918002
1,240316_070536_702550.json,240316_070536_702550.pickle,2,240316_070536_702550_000002,1776,424,61.316638190500804,170.67737425337424,-22.576359670698803,-13.28802353385472,0.7777992391018803
2,240316_070536_702550.json,240316_070536_702550.pickle,3,240316_070536_702550_000003,1779,428,64.15955154483132,174.29381973971363,-11.73742496221139,10.489099783637709,-0.6659486855503378
3,240316_070536_702550.json,240316_070536_702550.pickle,4,240316_070536_702550_000004,1775,413,56.98900882073287,165.21226448278412,-15.314745140053912,0.48299402651141476,-0.22972452347677955
4,240316_070536_702550.json,240316_070536_702550.pickle,5,240316_070536_702550_000005,1772,411,58.62085181695576,155.88777165245585,28.80542196107553,4.809477074577127,1.1126166562111655
5,240316_070544_080069.json,240316_070544_080069.pickle,1,240316_070544_080069_000001,1685,293,71.86537820281865,195.4393983225697,-30.95837788913398,-4.739408180393253,-0.3355522737290958
6,240316_070544_080069.json,240316_070544_080069.pickle,2,240316_070544_080069_000002,1686,304,79.4260022634846,190.41723338850957,-14.008873523072529,-2.228742768650677,-0.7384166384027394
7,240316_070544_080069.json,240316_070544_080069.pickle,3,240316_070544_080069_000003,1684,269,82.18981823912225,169.97724118506596,32.98988298349154,-3.2259188924094415,-1.5358745051267662
8,240316_070548_233343.json,240316_070548_233343.pickle,1,240316_070548_233343_000001,1610,353,97.01045740628578,167.21642523404952,-36.30547228297032,1.3271170326338306,-1.8925903963680797
9,240316_070549_146961.json,240316_070549_146961.pickle,1,240316_070549_146961_000001,1883,337,61.54351811458088,147.14936237867352,-86.36732309121153,0.1138153739579196,0.8412563531142856
10,240316_070550_062962.json,240316_070550_062962.pickle,1,240316_070550_062962_000001,1724,281,75.4925504363975,158.13988526201192,-9.792129980576018,-1.9249582658525661,0.5444559733229701
11,240316_070551_268671.json,240316_070551_268671.pickle,1,240316_070551_268671_000001,1542,146,44.796353154254845,125.21304674873639,5.425780736009939,-2.216054593212747,-0.8166096663283233
12,240316_070551_627669.json,240316_070551_627669.pickle,1,240316_070551_627669_000001,1455,359,43.791218770928275,171.00679570602378,18.991521261594713,4.193912454906189,1.0451917285187011
13,240316_070551_627669.json,240316_070551_627669.pickle,2,240316_070551_627669_000002,1466,347,68.5705105782809,152.72796684798357,-12.612457577130264,1.4798637170982183,-1.1961898450520172
