,json_file,pickle_file,line_id,png_file,png_w,png_h,draw_ori_pos_x,draw_ori_pos_y,xtrans_pix,ytrans_pix,rotate_ccw_deg
0,01058_1.json,01058_1.pickle,1,01058_1_000001,1812,134,44.3780604794772,130.2192205420975,41.71351650214001,-2.7150242689204105,1.3054504487256187
1,01058_1.json,01058_1.pickle,2,01058_1_000002,1806,125,44.3780604794772,113.06877480117862,6.847912539404865,-0.07646505375912871,-0.42264293247943574
2,01058_1.json,01058_1.pickle,3,01058_1_000003,1806,125,44.3780604794772,112.3962870244012,-4.317786972965981,5.489016030940769,-0.9058389007362925
3,01058_1.json,01058_1.pickle,4,01058_1_000004,1806,148,44.3780604794772,131.6189704048486,44.4074835109508,0.7860948139042744,-0.29411127646061747
4,01058_2.json,01058_2.pickle,1,01058_2_000001,1958,175,70.6232143037419,155.74197816634342,-72.21908246208814,2.9015623549548004,-0.20193130907908416
5,01058_2.json,01058_2.pickle,2,01058_2_000002,1947,170,70.6232143037419,146.09454469484757,-39.024259475200665,1.0765121023927353,-0.06729845969041874
6,01058_2.json,01058_2.pickle,3,01058_2_000003,1954,168,78.09785047353206,155.37520681084516,-33.179224251268366,1.2566087416900373,-1.0702623345274522
7,01067_1.json,01067_1.pickle,1,01067_1_000001,1596,191,85.29855536901732,175.82954525105583,17.393155971033064,-1.814298879604217,-0.8391039835426454
8,01067_1.json,01067_1.pickle,2,01067_1_000002,1580,168,77.29855536901732,158.11819959584616,1.4708725397037503,-0.6993972003702125,-0.8801691224761845
9,01067_1.json,01067_1.pickle,3,01067_1_000003,1589,187,88.67160490092152,178.3456871244051,39.08096960521378,1.2006385063024043,-0.9915061259927307
10,01067_2.json,01067_2.pickle,1,01067_2_000001,1866,184,64.12557430558327,164.9691219834334,23.33338831002356,3.281052974742364,-0.6942896575104602
11,01067_2.json,01067_2.pickle,2,01067_2_000002,1864,176,80.12557430558327,151.37779726802734,34.62756502510136,-0.11941277850687386,-1.528872263828115
